"s001"	"s002"	"s003"	"s005"	"s006"	"s007"	"s008"	"s009"	"s011"	"s012"	"s014"	"s015"	"s017"	"s018"	"s019"	"s020"	"s021"	"s022"	"s023"	"s024"	"s025"	"s027"	"s028"	"s029"	"s030"	"s032"	"s033"	"s034"	"s036"	"s037"	"s040"	"s041"	"s042"	"s044"	"s046"	"s047"	"s049"	"s050"	"s053"	"s054"	"s055"	"s056"	"s072"	"s077"	"s083"	"s085"	"s086"	"s087"	"s088"	"s089"	"s091"	"s093"	"s094"	"s097"	"s098"	"s099"	"s100"	"s103"	"s104"	"s105"	"s106"	"s107"	"s108"	"s109"	"s110"	"s111"	"s112"	"s115"	"s116"	"s119"	"s120"	"s122"	"s123"	"s125"	"s126"	"s128"	"s129"	"s130"	"s132"	"s133"	"s134"	"s135"	"s137"	"s138"	"s140"	"s151"	"s162"	"s166"	"s168"	"s169"	"s170"	"s171"	"s172"	"s173"	"s174"	"s175"	"s176"	"s177"	"s178"	"s179"	"s182"	"s183"	"s184"	"s185"	"s187"	"s188"	"s189"	"s190"	"s192"	"s193"	"s196"	"s197"	"s198"	"s199"	"s201"	"s202"	"s204"	"s205"	"s207"	"s208"	"s209"	"s210"	"s211"	"s214"	"s215"	"s216"	"s218"	"s219"	"s220"	"s221"	"s225"	"s227"	"s228"	"s229"	"s230"	"s231"	"s232"	"s233"	"s234"	"s236"	"s240"	"s241"
"MYb379"	0.0118719761816152	0.0560105184072126	0.01056284895126	0.0468635911052108	0.0139753172257952	0.00463898737532721	0.276468364003025	0.013809932425185	0.0315816446370994	0.113677750050583	0.00511502377586428	0.0214875329759169	0.0106393410472642	0.0435831699592822	0.0135099856415612	0.013964013688045	0.358646063281825	0.0459498884503175	0.0162153734213398	0.0154961112420457	0.0204982013167719	0.00279555196620488	0.0286324539629394	0.023711763498255	0.00509070340592299	0.0107125906841142	0.00856815747682535	0.0142700960929858	0.00396928682977616	0.0106576238343224	0.00749323090485486	0.0853575994585245	0.154856269697259	0.00330760749724366	0.0112005973651928	0.00808465105219356	0.0211674672311325	0.0414511001682977	0.0109763142692086	0.0117610062893082	0.0250153280196199	0.0277079258638353	0.0130708856065756	0.0128690694359601	0.0089769647696477	0.01307740982915	0.00566847518017653	0.0155976264481492	0.0117309241166789	0.00921674893852049	0.0452369217770894	0.0309546313799622	0.0175518577615683	0.0731207128208755	0.00363324418428622	0.00468833244539158	0.0260204279777855	0.00484490727849864	0.012006301950345	0.00267477203647416	0.00879686745695435	0.0109223822833799	0.0149553571428571	0.00524883359253499	0.0191433357262503	0.00366492146596859	0.00457128209509976	0.0516635668526555	0.00653526428608773	0.0140818800708757	0.0095434131736527	0.00628473141042604	0.00298187578623678	0.00900986342943854	0.0343529411764706	0.308120258499579	0.00672524134938714	0.018657937806874	0.0503024514485833	0.481762079173147	0.00459897912771011	0.0370490737731557	0.0167226282177892	0.0189581753485388	0.0204201950905778	0.016851517496346	0.0031324043211116	0.027767392855929	0.0072694738019348	0.0154772141014617	0.0250398919847797	0.0110553909277411	0.0375509741730856	0.011300037311444	0.0176354856018601	0.0349840981372104	0.0283938339134759	0.0855735246867302	0.0203750388507097	0.0102996422986357	0.0128829301175942	0.0936053966661092	0.00196802956060728	0.00568126163189343	0.0185131523873917	0.0292992441914715	0.110440897124004	0.00532656312226205	0.0210465937169079	0.0800829754287551	0.0140621456112497	0.180980344180736	0.0303553445547403	0.581250642805718	0.0282037876147322	0.370631998196438	0.0327070552147239	0.0182215486554118	0.0193464669104636	0.0415020453830286	0.0295304217291364	0.0315537125826098	0.0679069155929529	0.00556689552792726	0.0790871250179417	0.0710384092945291	0.00661266325012399	0.0636804542407634	0.0290929259315283	0.0089836291357561	0.0152296732989437	0.0569403425871235	0.0232085491378745	0.149931034482759	0.0795040834399292	0.0145194902804824	0.0103484688489968	0.0353478441373584	0.0196268946754761	0.0179442782937195	0.0071453775582216	0.00450783825607213
"MYb71,MYb49"	0.00628954224041682	0.0360255447032307	0.00139580503998793	0.0193826750746764	0.00219016165478881	0.00122601809205076	0.0403012351903201	0.003298294540384	0.00634195297986377	0.0793822081338099	0.00197918005397764	0.00668028252914646	0.00151990586389488	0.0178706077514704	0.00241482835139016	0.00347720498951319	0.0735344616139318	0.0198215205079801	0.00311834104256536	0.00695262785764789	0.0109278490463585	0.000745480524321302	0.010217629740807	0.0080578936563334	0.00117166983152196	0.00244084344701336	0.000332385419359604	0.0037976868634559	0.00149661634565331	0.00653990553469783	0.00302247969271456	0.0517409942092201	0.0866679400248305	0.000899437126443452	0.00165342151581418	0.00253636111441366	0.00325653342017422	0.0183880820295456	0.00239333168275976	0.00251572327044025	0.0116186388718578	0.0129458880506659	0.00355355046041654	0.00346161677866015	0.00155826558265583	0.00425367362722351	0.00166005344562313	0.00881604973156259	0.00528767027348811	0.00227829749042079	0.182074209674013	0.00685255198487713	0.00626852062913153	0.071140654833463	0.000756925871726296	0.00127863612147043	0.0176705891490932	0.00172634627164894	0.0105394686803933	0.000486322188449848	0.001180067585689	0.00232208127284455	0.00491071428571429	0.00181441161223432	0.012921751615219	0.000756253635834788	0.00179433502798308	0.0438623682579045	0.00172530977152716	0.0032173831950014	0.0030563872255489	0.00231542736173591	0.00144434608395844	0.00749241274658574	0.0149915966386555	0.0671536948581062	0.000867773077340276	0.00400981996726678	0.0382043935052531	0.0866489388389945	0.00136453226866124	0.0209944751381215	0.00829547698992692	0.0100915825701452	0.00578840175795905	0.0078669074026309	0.000602385446367616	0.0108418584100873	0.00150981378963261	0.00402769606733946	0.014729348226341	0.00598358787326191	0.0381739918441323	0.00218538457438303	0.102450366660705	0.0433439345751931	0.00671307807061164	0.110046053336189	0.00873709293089754	0.00553628242230331	0.00489351609117919	0.026648826448124	0.000361474817254398	0.000832598687432657	0.0111722850059564	0.0154583061180057	0.0769153864098377	0.00184189565909996	0.00763325097070244	0.0850790311742192	0.00378014666969078	0.0291982709403801	0.0175873974967631	0.0731770029826185	0.019112350412455	0.0412189073420004	0.0181748466257669	0.010714411588482	0.00766780700719594	0.0723051641550995	0.0178965145189286	0.0232603343268109	0.0438469629240074	0.00145357827673656	0.176546576718817	0.070431490419352	0.00142172259877666	0.161389535112969	0.00733625775223113	0.0106113250070429	0.00610005731597478	0.201358535144714	0.0156690487117288	0.153655172413793	0.074731870510676	0.00399713026545045	0.00179514255543823	0.0218255145009193	0.00555771472988729	0.00957552862164857	0.00149964714184898	0.00407051066406513
"BIGb0170"	0.0235206550055824	0.0135236664162284	0.031160404406217	0.00258878194490541	0.0013558143577264	0.0156731502037841	0.016227627930426	0.0210500911723694	0.0135166876641541	0.0301139812504215	0.0162189949877908	0.0275721215215726	0.0391253186899392	0.00226210224702157	0.0022190314580342	0.0151230820178828	0.0237429482462595	0.00330358675133002	0.0217244425965386	0.0431298609474428	0.05396049684382	0.016586941666149	0.0473936385152687	0.0308971463765141	0.0329683649145489	0.00237304224015187	0.00317612734054733	0.0355601588123597	0.0287610619469027	0.0239796536272254	0.020023927964234	0.0263217267052719	0.0307038487250501	0.017843672024604	0	0.000752982205841557	0.00211674672311325	0	0	0	0.0348252605763335	0.00293378038558256	0.0198535319201533	0.0272449602932193	0.0161924119241192	0.0298811783730577	0.019556239371609	0.029895450692286	0.018839513954547	0.0191929303738479	0.0271069492360769	0.0537570888468809	0.0446774561203556	0.01562831482922	0.0098904980572236	0.019286094832179	0.035651869975533	0.0142562788884558	0.0178736350301516	0.01209726443769	0.0176473743496218	0.0205977209202322	0.0458333333333333	0.00939606013478486	0.0199409747148441	0.0107038976148924	0.0211047977100867	0.0231452779499897	0.0117111936006692	0.00881283222978644	0.0403567864271457	0.00820322836729293	0.0144900526487444	0.0322458270106222	0	0.00112391121101433	0.0146979064974509	0	0.00198981216173193	0	0	0.00097497562560936	0.0017776022121272	0.00285830951408738	0.0139350412691607	0.0288023385779383	0.0126902534034778	0.0282092240764028	0.0120225912878152	0.0308639181789383	0.0510208256617978	0.0221107818554821	0.0301314000906208	0.0232396993763659	0.00876408513682704	0.0279266999848554	0.0371456986573844	0.0390382349791153	0.0464136478226336	0.00316358995560189	0.0331810351284548	0.0490606009923622	0.00835408466543497	0.0167499265354099	0.0212820760488103	0.022985288171441	0.0273602826007265	0.00995619275189168	0.0347246734909989	0.043357583194554	0.0468360172374688	0.0189217845200228	0.0490576895410732	0.0187699269772704	0.0225107470663414	0.0479446907642594	0.0429064417177914	0.0421527508546858	0.035743777279698	0.0354183420160134	0.0246047755312661	0.0356356096928858	0.0421377859584539	0.00649471144924847	0.0131692263528061	0.0326869165631051	0.0297569846255579	0.0152202200228698	0.0441688095598245	0.0254797007543744	0.0417997216081225	0	0	0.00170114942528736	0.00137754600019679	0.000717433637388542	0	0	0	0.0583189044545884	0.00877734650670431	0.0105295027921685
"MYb396,MYb69,MYb21"	0.0172683289914403	0.107851239669421	0.0325939339067451	0.0118818453368735	0.00458891013384321	0.0103383147221578	0.0303440887320393	0.0151238871607852	0.0123636053041789	0.0814729884669859	0.0290965171571777	0.0200833971576887	0.00970778584036086	0.012969386216257	0.00528651612061089	0.012749751628215	0.0255580083394653	0.0156169555517419	0.013772672937997	0.020740042422814	0.0282359329396593	0.0359073119214761	0.0172025630664435	0.0283822623691234	0.0108682477475658	0.00528849413519561	0.00173579052332238	0.0159963173945566	0.0122332118688183	0.0528642364054741	0.0283987154461306	0.0777619011807174	0.0783592780059211	0.0143039517205362	0.00570697103845538	0.0133951571354972	0.0380200276805341	0.0491803278688525	0.0450606585788562	0.059559748427673	0.0334150827713059	0.0328303995529478	0.0158982757555157	0.0312360008144981	0.0159891598915989	0.013815650706602	0.0083812454449753	0.0408589997174343	0.0113457295934447	0.0183644585591494	0.0336196578187707	0.0217785129174543	0.0254729883747436	0.072554981967329	0.0206893071605187	0.039957378795951	0.0208940153015651	0.0227209444784764	0.0185798880860542	0.00838905775075988	0.00364748162849327	0.00623521823263814	0.027827380952381	0.0165241057542768	0.136156975352955	0.0232111692844677	0.0437048746101594	0.0532651374250878	0.0122340147435562	0.0250396344306631	0.0447854291417166	0.0231542736173591	0.0238084144807343	0.0565250379362671	0.0397983193277311	0.0599044675470638	0.00558628918537802	0.0153027823240589	0.0760108245781598	0.0151522753499574	0.0414918886137363	0.171985700357491	0.0413457107116993	0.0265414454879543	0.0106656662021653	0.015991746195512	0.0192361752540059	0.0498929408965775	0.0222557736397696	0.010725437842241	0.027126549650178	0.0572144973786186	0.0342659719075668	0.00740898672778637	0.0221069576104454	0.0349840981372104	0.0323222277473894	0.0770590125307915	0.0269364920399213	0.186094584149695	0.0217961201408134	0.0148296816636004	0.0102819503574584	0.0152316583406798	0.099906629318394	0.0303567540667475	0.0601193054953844	0.021505376344086	0.0262972114366396	0.0573231659216408	0.013117108943827	0.0410243862653943	0.0580492015537333	0.0185128046899105	0.0965202741954223	0.0205906665664688	0.0633435582822086	0.0450075776266169	0.0143918839211985	0.164679556658858	0.0790918046629451	0.0720811196060645	0.0752366552721536	0.0257314282179749	0.054794028993828	0.0461547354122713	0.0661927591337411	0.0395489136863688	0.0440427570211264	0.106927098006073	0.0913370998116761	0.0271707028942705	0.0826722611945191	0.0764137931034483	0.070304044081472	0.0250760138020566	0.0519007391763464	0.0606132495107052	0.0175670423630004	0.0318222362138622	0.0530169371912491	0.0297382762564758
"MYb58"	0.00427986602158541	0.0280616078136739	0.00282933454051607	0.00723531364088948	0.000660524943507735	0.0011597468438318	0.0534093773632468	0.00233294004075941	0.0073882684546561	0.0397248263303433	0.00161932913507261	0.00599948940515701	0.00166699352814277	0.00633388629166038	0.000978984466779794	0.0032564300695441	0.13402011282806	0.00600652136605457	0.00327425809469362	0.00441904312986095	0.00746623226769836	0	0.00738902037753276	0.00410593307329091	0.000888852975637348	0.000610210861753339	0	0.00293457621267046	0.00149661634565331	0.00217996851156594	0.00151123984635728	0.0360983680529443	0.0700506159870117	0.000551267916207277	0.000586697957224385	0.00194190147822296	0.00455914678824391	0.0117185065137443	0.00202195262853842	0.00226415094339623	0.00769466584917229	0.00763714259104033	0.00276558927136765	0.00191407045408267	0.00237127371273713	0.00400759333473951	0.00206494452992145	0.00514269567674484	0.00451728122701964	0.00234733680831233	0.0962472717031613	0.00665563957151859	0.00438796444039207	0.0385404143978502	0.00065600242216279	0.00111880660628663	0.0113790826828226	0.000668263072896364	0.00510675286575759	0.00060790273556231	0.00123370702140213	0.00227907976779187	0.00550595238095238	0.00103680663556247	0.00598229241445322	0.000988947062245492	0.000897167513991541	0.0287249431700765	0.00141161708579495	0.00303086822717523	0.00224550898203593	0.00129002381582429	0.000745468946559195	0.00441009104704097	0.0117647058823529	0.0626018544534982	0.00103048052934158	0.00360065466448445	0.0134511302133079	0.121368722091215	0.00101076464345277	0.014169645758856	0.00553031799328461	0.00688327597270023	0.0042341086933219	0.00558851345542086	0.000522067386851934	0.00737518268021616	0.00111838058491305	0.00330361587545821	0.00863303465488319	0.00262138135400046	0.0219188944268237	0.00133255156974575	0.0706134859595779	0.0285930637588975	0.00581800099453008	0.0811823926314662	0.00597437579859792	0.006237305196556	0.00274636107158016	0.0253108100574232	0	0.00107748065432462	0.00782381918284555	0.0100463438151224	0.0509881027760189	0.00139386698526483	0.00533886339569361	0.078271540012271	0.00343993346941861	0.0370279748796999	0.0109336786073946	0.103723130720971	0.0128383873591263	0.073833320808597	0.0163726993865031	0.00740140274204349	0.00519051551256341	0.0544386559910493	0.0182014354740348	0.0125048594013218	0.036287141730213	0.00108245190820808	0.0630472226209272	0.0691309499725441	0.00168622912878162	0.0715665786049446	0.00695810013613674	0.00500829498857483	0.0051584377302874	0.134908446544595	0.00930964400445814	0.122758620689655	0.0547574535078225	0.00314304260189266	0.00237592397043295	0.0166063697289603	0.00415856976292266	0.00453853822341151	0.00176429075511644	0.00121106102401938
"JUb19"	0.019352437662821	0.0146882043576258	0.002640712237815	0.00411549950215732	0.000382409177820268	0.00205440869478777	0.0166057474161835	0.00351281776252279	0.00185774380218232	0.0499426721521549	0.000848220023133273	0.0219555782486597	0.00137281819964699	0.00429799426934097	0.00045685941783057	0.00320123633955183	0.0275692911454501	0.00484812081688691	0.003690036900369	0.00382983737921282	0.0141858413086269	0.000559110393240977	0.013623506321076	0.0263292958324779	0.00105046260757141	0	0.000258521992835248	0.00258933195235629	0.00123633524206143	0.0173186387307739	0.00157420817328884	0.0127848386854178	0.03977652564225	0.00388788951430395	0.000586697957224385	0.00285340625371537	0.00268664007164374	0.0248083276195225	0.00198068828918049	0.00352201257861635	0.0123237277743716	0.0118282574275868	0.00324454607255423	0.0073712074933822	0.00206639566395664	0.00175771637488575	0.00198396631306179	0.0209663746821136	0.0102251637076724	0.00279609237460734	0.0157361120889953	0.0219360428481411	0.016241167084568	0.0193762817339651	0.00050461724781753	0.00138518913159297	0.0201172861081984	0.00640418778192348	0.00939859835931982	0.000729483282674772	0.00128734645711527	0.00210707374758117	0.0109375	0.000777604976671851	0.0398021855308287	0.000523560209424084	0.00166616824027	0.0481504443066749	0.0027709520573012	0.00186514967826168	0.0032435129740519	0.000893093410955279	0.000465918091599497	0.0408289074355083	0.025546218487395	0.0329305984827199	0.000922008894674043	0.00327332242225859	0.0228430436166826	0.0132456976569164	0	0.0150796230094248	0.0267957074198433	0.0589745085457621	0.00428770500589559	0.0150459977645946	0.0029316091723224	0.0383033681133807	0.00123021864340435	0.00171969045571797	0.0114970745877828	0.0054707089126966	0.0114975079293158	0.00309151964181014	0.00790556251117868	0.0404664546418295	0.0428145201392342	0.0253293349041448	0.0269019580757675	0.00436791113188216	0.00631663046463436	0.00512906283101968	0.000481966423005864	0.000538740327162308	0.0353198750764674	0.0507293707816242	0.0315259772719699	0.000398247710075667	0.0219731733145076	0.0210068074911619	0.00185227186814848	0.0197781583883859	0.0609264853977845	0.0100791936645068	0.00557685604740328	0.0098444427744796	0.131710122699387	0.0620308039333169	0.00206440957886045	0.0119925876717597	0.00494910165595534	0.100492419333938	0.0131803839074415	0.0011752335003402	0.0272714224199799	0.0355192046472645	0.00317407836005951	0.0171523204920942	0.0130338325013866	0.00773155538861239	0.0313190862196021	0.0100413467217956	0.0536287943355405	0.0268965517241379	0.0352258191478894	0.0032796966280619	0.00269271383315734	0.0263329577130657	0.00610182666148465	0.0337635762631827	0.00105857445306987	0.00131198277602099
"MYb186"	0.00949013770003722	0.00484598046581518	0.01584427342689	0.0161301028874876	0.0204415087780289	0.010006958481063	0.000819258885807915	0.0106457148986378	0.00239157822809677	0.0108248465637014	0.00935612389153065	0.00744617479363458	0.00730535399097862	0.0192278690996833	0.020493408171257	0.00844464068881775	0.00269806230071131	0.0200789428522396	0.011433917156073	0.0132571293895828	0.0109957238851558	0.0112443312418463	0.011314437453097	0.0074933278587559	0.00569673952567573	0.0192555427486609	0.00926986002880674	0.00563898958513148	0.00527069234773555	0.0314278793750757	0.0147345885019835	0.0147401669549522	0.00764014898290517	0.00768873672604886	0.0142407595071737	0.0204097808425475	0.0143287470487666	0.0104095244031665	0.0191053891227201	0.0213836477987421	0.0109748620478234	0.0248672813635094	0.011386811692726	0.0188963551211566	0.0117208672086721	0.00857765590944245	0.0107701028423354	0.00638598474145239	0.0191196554259901	0.00935482757430357	0.00770963880870239	0.00854599873976055	0.013277866423524	0.00473799589845131	0.0146339001867084	0.0146510388918487	0.00594197832925551	0.0100796346828535	0.00831205519639268	0.0129483282674772	0.0100305744783565	0.0139324876370673	0.00721726190476191	0.0213193364437532	0.00598229241445322	0.0127981384525887	0.013243901397018	0.00914445133292002	0.0117634757149579	0.0263452392054462	0.0132235528942116	0.0178618682191056	0.0158878069235428	0.00872534142640364	0.0107563025210084	0.00449564484405732	0.015619915392125	0.0115384615384615	0.011779687997453	0.00481661732978777	0.0182443018143225	0.0114397140071498	0.0139574692211469	0.0184915125707286	0.0116839961410655	0.00838277018313129	0.0114051644512269	0.00774903986677089	0.017055303919924	0.00488754129519844	0.0145656888016039	0.0135627991793937	0.0142727684639783	0.0121528703160812	0.0483276694687891	0.0176283507496592	0.0115862754848334	0.00771125629217093	0.00714853057982526	0.00109647151870293	0.00534292063016503	0.0104811283938228	0.0152622700618524	0.0104809481829758	0.00566663446987991	0.00696712388417157	0.0129969673742793	0.0114496216646754	0.00675079421108366	0.00847284307710287	0.0163302336130642	0.00424108963379822	0.00852395338800173	0	0.039560822586267	0.00777786127602014	0.00797546012269939	0.00606210129348324	0.0249793559042114	0.036886822139086	0.0402964769901956	0.0119541272515226	0.0106494872469103	0.0130512772932517	0.00678197215444237	0.00812115256784486	0.0137543395602579	0.0115137415717046	0.00892451973982756	0.0105487213196857	0.00491279783836895	0.0262847017129356	0.0129154920343539	0.0155402298850575	0.0104791892157827	0.0101123979365242	0.0269799366420275	0.0118616926635431	0.0116595413913719	0.00718820504748413	0.0158345095271701	0.0129852654242078
"CEent1"	0.009080759211016	0.0033809166040571	0.004753282028067	0.00610687022900763	0.0104988701547019	0.00397627489313761	0.00100831862868667	0.00439772605384533	0.00132390937626786	0.0116341808862211	0.00436961830098959	0.00404220917368735	0.00269660717787802	0.00769114763987332	0.00939825088108602	0.0038635610994591	0.00333578611724307	0.00510554316114639	0.00488540096668572	0.00571529578128683	0.01262472001629	0.00534261042430267	0.00588812561334642	0.00292547731471977	0.0025453517029615	0.011390602752729	0.00638918639435683	0.00414293112377007	0.0034487246225924	0.027007387671067	0.0063598010200869	0.0157930360231631	0.00912042784834304	0.00429408692624616	0.00992052909488506	0.00982839931835295	0.00985101359602703	0.00666957551580128	0.0120491870925146	0.00987421383647799	0.00671367259350092	0.0129924559932942	0.00696804894629504	0.0143351659539809	0.00647018970189702	0.00527314912465725	0.00518260587901854	0.00474710370161062	0.00906958013796967	0.00483275225240775	0.0882207984228684	0.00496219281663516	0.00911784818782767	0.0951134997524928	0.00625725387293738	0.0110282365476825	0.00951493261874248	0.00478921868909061	0.00581300592166024	0.00693009118541033	0.00520302526417422	0.0100193506772737	0.003125	0.0153576982892691	0.00366913934753131	0.00663176265270506	0.0106805656427564	0.00811117999586691	0.00371203011449783	0.015573999813485	0.00561377245508982	0.0175972479491929	0.0116013604808275	0.00312974203338392	0.00625210084033613	0.00359651587524586	0.00623711899338323	0.0130114566284779	0.0140878701050621	0.00270934724800562	0.0183453782786678	0.0117647058823529	0.0121798670090197	0.0163915300705827	0.00487726444420624	0.00421287937408649	0.00771053371350548	0.00390850695034497	0.0111278868198848	0.00271530071955469	0.00789656724356614	0.00729427855026214	0.0095151789759855	0.00650285166035926	0.114469683419782	0.0171134332878994	0.00984584783689707	0.136446396058691	0.00438581344752564	0.00129419589092805	0.00374503782488203	0.00579807102637007	0.0106835890432966	0.00685669507297483	0.00376702405099971	0.00506982675499984	0.0275602359449462	0.00761648745519713	0.00335333568655136	0.0139947994273527	0.00404475693656914	0.00171274773672621	0.00712127751402676	0.00056566903219171	0.0323573835250378	0.00511009243255429	0.00414110429447853	0.00694322066753604	0.0085525539695647	0.022236984720814	0.0140029084768026	0.0210250097188026	0.00785564028398633	0.00702047380466382	0.0333357255633702	0.0254616918586168	0.0122334270127294	0.11182524348409	0.00766399435284627	0.00948445863461358	0.00212887906329321	0.187005316007088	0.00662164820035403	0.0338850574712644	0.0193840401456263	0.0077209524785624	0.019376979936642	0.00889626949765732	0.00753983676642052	0.00377774279867779	0.0102769936485533	0.00703088205611249
